4  5363.08	2.207610e+00	1.191968e-01	6.707120e+01	2.171284e+00	9.683136e-01	7.680769e-02	1.230805e-03	9.985724e+01	9.927032e+00	2.477137e-01	8.211609e-01	
4  5358.92	2.212515e+00	1.212510e-01	6.658115e+01	2.155715e+00	9.627889e-01	6.704858e-02	2.705027e-03	1.001154e+02	9.038071e+00	2.477348e-01	8.214562e-01	
2  5359.33	2.212515e+00	1.212510e-01	6.658115e+01	2.155715e+00	9.627889e-01	6.704858e-02	2.705027e-03	9.985515e+01	9.038071e+00	2.477348e-01	8.214562e-01	
8  5359.52	2.212515e+00	1.212510e-01	6.658115e+01	2.155715e+00	9.627889e-01	6.704858e-02	2.705027e-03	9.984702e+01	9.038071e+00	2.477348e-01	8.214562e-01	
2  5358.17	2.212515e+00	1.212510e-01	6.658115e+01	2.155715e+00	9.627889e-01	6.704858e-02	2.705027e-03	9.991981e+01	9.038071e+00	2.477348e-01	8.214562e-01	
2  5357.74	2.212515e+00	1.212510e-01	6.658115e+01	2.155715e+00	9.627889e-01	6.704858e-02	2.705027e-03	1.000142e+02	9.038071e+00	2.477348e-01	8.214562e-01	
4  5357.32	2.204311e+00	1.222763e-01	6.626637e+01	2.099274e+00	9.589240e-01	5.203418e-02	2.037817e-03	1.000422e+02	7.565475e+00	2.476996e-01	8.143444e-01	
2  5357.11	2.206082e+00	1.193549e-01	6.733749e+01	2.166619e+00	9.651152e-01	6.796206e-02	2.642273e-03	1.003165e+02	9.106857e+00	2.477072e-01	8.187702e-01	
3  5360.2	2.222622e+00	1.208942e-01	6.672668e+01	2.185261e+00	9.572389e-01	7.265929e-02	1.001835e-02	1.000608e+02	9.536423e+00	2.477782e-01	8.128701e-01	
2  5360.46	2.222622e+00	1.208942e-01	6.672668e+01	2.185261e+00	9.572389e-01	7.265929e-02	1.001835e-02	1.001264e+02	9.536423e+00	2.477782e-01	8.128701e-01	
5  5358.47	2.224294e+00	1.214401e-01	6.670840e+01	2.134595e+00	9.618622e-01	6.246722e-02	7.927817e-03	9.998604e+01	8.564987e+00	2.477854e-01	8.099234e-01	
4  5359.28	2.193794e+00	1.218218e-01	6.638874e+01	2.091648e+00	9.599044e-01	4.727022e-02	2.280235e-03	1.004377e+02	7.072739e+00	2.476542e-01	8.119588e-01	
1  5358.5	2.193794e+00	1.218218e-01	6.638874e+01	2.091648e+00	9.599044e-01	4.727022e-02	2.280235e-03	1.003795e+02	7.072739e+00	2.476542e-01	8.119588e-01	
4  5358.42	2.193794e+00	1.218218e-01	6.638874e+01	2.091648e+00	9.599044e-01	4.727022e-02	2.280235e-03	1.002865e+02	7.072739e+00	2.476542e-01	8.119588e-01	
2  5358.21	2.191220e+00	1.204366e-01	6.660679e+01	2.109437e+00	9.629143e-01	5.638835e-02	2.625600e-03	1.000514e+02	8.016800e+00	2.476431e-01	8.107705e-01	
5  5357.46	2.197755e+00	1.208246e-01	6.661931e+01	2.134748e+00	9.622121e-01	6.119866e-02	5.579483e-03	1.000729e+02	8.494797e+00	2.476713e-01	8.123461e-01	
7  5357.26	2.197755e+00	1.208246e-01	6.661931e+01	2.134748e+00	9.622121e-01	6.119866e-02	5.579483e-03	1.001514e+02	8.494797e+00	2.476713e-01	8.123461e-01	
1  5357.84	2.215115e+00	1.192808e-01	6.734026e+01	2.121780e+00	9.696856e-01	6.285529e-02	2.913292e-03	9.992589e+01	8.586746e+00	2.477460e-01	8.103560e-01	
2  5359.26	2.215115e+00	1.192808e-01	6.734026e+01	2.121780e+00	9.696856e-01	6.285529e-02	2.913292e-03	1.000315e+02	8.586746e+00	2.477460e-01	8.103560e-01	
3  5357.8	2.215115e+00	1.192808e-01	6.734026e+01	2.121780e+00	9.696856e-01	6.285529e-02	2.913292e-03	9.987823e+01	8.586746e+00	2.477460e-01	8.103560e-01	
1  5358.11	2.224744e+00	1.181457e-01	6.788912e+01	2.184435e+00	9.738013e-01	7.922902e-02	2.970508e-03	9.982308e+01	1.007724e+01	2.477873e-01	8.192796e-01	
5  5357.37	2.234664e+00	1.180547e-01	6.796988e+01	2.198460e+00	9.693733e-01	8.091795e-02	3.100846e-03	9.988218e+01	1.019797e+01	2.478297e-01	8.194916e-01	
2  5357.79	2.234664e+00	1.180547e-01	6.796988e+01	2.198460e+00	9.693733e-01	8.091795e-02	3.100846e-03	1.000567e+02	1.019797e+01	2.478297e-01	8.194916e-01	
3  5357.13	2.234664e+00	1.180547e-01	6.796988e+01	2.198460e+00	9.693733e-01	8.091795e-02	3.100846e-03	1.000030e+02	1.019797e+01	2.478297e-01	8.194916e-01	
5  5358.3	2.209029e+00	1.197635e-01	6.726609e+01	2.139300e+00	9.658109e-01	6.878335e-02	4.466397e-03	9.971023e+01	9.185471e+00	2.477199e-01	8.125251e-01	
2  5357.51	2.201142e+00	1.186043e-01	6.746323e+01	2.159491e+00	9.654977e-01	7.184554e-02	2.271111e-03	9.997964e+01	9.473251e+00	2.476859e-01	8.154700e-01	
1  5357.46	2.201142e+00	1.186043e-01	6.746323e+01	2.159491e+00	9.654977e-01	7.184554e-02	2.271111e-03	9.997463e+01	9.473251e+00	2.476859e-01	8.154700e-01	
